Year,Search term,Language
2019,погода,UA
2019,ютуб,Both
2019,фейсбук,Both
2019,переводчик,RU
2019,новости,RU
2019,синоптик,UA
2019,укрнет,UA
2019,олх,Both
2019,гдз,RU
2019,почта,RU
2019,фильмы,RU
2019,скачать песню,RU
2019,вк,RU
2019,приват24,UA
2019,новини,UA
2019,укр,UA
2019,карта,RU
2019,инстаграм,Both
2019,футбол,RU
2019,гугл,Both
2019,google,GB
2019,youtube,GB
2019,игры,RU
2019,музыка,RU
2019,новая почта,RU
2020,погода,UA
2020,скачать,RU
2020,ютуб,Both
2020,новости,RU
2020,фейсбук,Both
2020,переводчик,RU
2020,синоптик,UA
2020,укрнет,UA
2020,гдз,RU
2020,почта,RU
2020,олх,Both
2020,новини,RU
2020,коронавирус,RU
2020,скачать песню,RU
2020,фильмы,RU
2020,перевод,RU
2020,приват24,UA
2020,карта,RU
2020,погода завтра,RU
2020,гугл,Both
2020,инстаграм,RU
2020,вк,RU
2020,картинки,RU
2020,google,GB
2020,с днем рождения,RU
2021,погода,UA
2021,ютуб,Both
2021,переводчик,RU
2021,синоптик,UA
2021,новости,RU
2021,гдз,RU
2021,фейсбук,Both
2021,укрнет,UA
2021,погода завтра,RU
2021,олх,UA
2021,почта,RU
2021,перевод,RU
2021,новини,RU
2021,скачать песню,RU
2021,карта,RU
2021,футбол,RU
2021,гугл,RU
2021,приват24,UA
2021,инстаграм,RU
2021,с днем рождения,RU
2021,перекладач,UA
2021,вк,RU
2021,google,GB
2021,з днем народження,UA
2021,youtube,GB
2022,погода,UA
2022,новости,RU
2022,карта,UA
2022,переводчик,RU
2022,ютуб,Both
2022,новини,UA
2022,укрнет,UA
2022,що,UA
2022,синоптик,UA
2022,фейсбук,Both
2022,олх,UA
2022,погода завтра,Both
2022,почта,RU
2022,карта тривог,UA
2022,гугл,Both
2022,новости украины,UA
2022,перекладач,UA
2022,скачать песню,RU
2022,з днем народження,UA
2022,фильмы,RU
2022,цензор,UA
2022,приват24,UA
2022,курс доллара,RU
2022,новини україни,UA
2022,телеграм,UA
2023,погода,UA
2023,карта,UA
2023,ютуб,Both
2023,переводчик,RU
2023,синоптик,UA
2023,гдз,RU
2023,укрнет,UA
2023,новини,UA
2023,новости,RU
2023,олх,Both
2023,карта тривог,UA
2023,погода завтра,Both
2023,перекладач,UA
2023,фейсбук,Both
2023,перевод,UA
2023,з днем народження,UA
2023,гугл,Both
2023,футбол,UA
2023,телеграм,UA
2023,youtube,GB
2023,google,GB
2023,приват24,UA
2023,нова пошта,UA
2023,карта повітряних тривог,UA
2023,розетка,RU
2024,погода,UA
2024,ютуб,Both
2024,карта,UA
2024,переводчик,RU
2024,синоптик,UA
2024,укрнет,UA
2024,погода завтра,RU
2024,новини,UA
2024,новости,RU
2024,перекладач,UA
2024,олх,Both
2024,карта тривог,UA
2024,фейсбук,UA
2024,перевод,RU
2024,телеграм,UA
2024,гугл,Both
2024,з днем народження,UA
2024,почта,UA
2024,youtube,GB
2024,футбол,UA
2024,google,GB
2024,нова пошта,UA
2024,аниме,RU
2024,приват24,UA
2024,фільми,UA
