Week,Nationality,Count
21/10/2021,Ukrainian,0
21/10/2021,Russian,8
21/10/2021,Other,2
22/10/2021,Ukrainian,0
22/10/2021,Russian,8
22/10/2021,Other,2
29/10/2021,Ukrainian,0
29/10/2021,Russian,8
29/10/2021,Other,2
05/11/2021,Ukrainian,0
05/11/2021,Russian,8
05/11/2021,Other,2
12/11/2021,Ukrainian,0
12/11/2021,Russian,9
12/11/2021,Other,1
19/11/2021,Ukrainian,1
19/11/2021,Russian,8
19/11/2021,Other,1
26/11/2021,Ukrainian,0
26/11/2021,Russian,9
26/11/2021,Other,1
03/12/2021,Ukrainian,0
03/12/2021,Russian,9
03/12/2021,Other,1
10/12/2021,Ukrainian,0
10/12/2021,Russian,9
10/12/2021,Other,1
17/12/2021,Ukrainian,0
17/12/2021,Russian,8
17/12/2021,Other,2
24/12/2021,Ukrainian,0
24/12/2021,Russian,8
24/12/2021,Other,2
31/12/2021,Ukrainian,0
31/12/2021,Russian,8
31/12/2021,Other,2
07/01/2022,Ukrainian,0
07/01/2022,Russian,7
07/01/2022,Other,3
14/01/2022,Ukrainian,0
14/01/2022,Russian,7
14/01/2022,Other,3
21/01/2022,Ukrainian,0
21/01/2022,Russian,7
21/01/2022,Other,3
28/01/2022,Ukrainian,0
28/01/2022,Russian,9
28/01/2022,Other,1
04/02/2022,Ukrainian,0
04/02/2022,Russian,8
04/02/2022,Other,2
11/02/2022,Ukrainian,0
11/02/2022,Russian,9
11/02/2022,Other,1
18/02/2022,Ukrainian,0
18/02/2022,Russian,9
18/02/2022,Other,1
25/02/2022,Ukrainian,3
25/02/2022,Russian,7
25/02/2022,Other,0
04/03/2022,Ukrainian,3
04/03/2022,Russian,7
04/03/2022,Other,0
11/03/2022,Ukrainian,4
11/03/2022,Russian,5
11/03/2022,Other,1
18/03/2022,Ukrainian,3
18/03/2022,Russian,6
18/03/2022,Other,1
25/03/2022,Ukrainian,2
25/03/2022,Russian,7
25/03/2022,Other,1
01/04/2022,Ukrainian,3
01/04/2022,Russian,6
01/04/2022,Other,1
08/04/2022,Ukrainian,3
08/04/2022,Russian,6
08/04/2022,Other,1
