"Month","Ukrainian","Russian","Other"
2021-10-01,0,8,2
2021-11-01,1,9,2
2021-12-01,0,9,2
2022-01-01,0,8,3
2022-02-01,1,9,1
2022-03-01,3,7,1
2022-04-01,4,6,1
2022-05-01,4,7,1
2022-06-01,4,5,2
2022-07-01,4,6,1
2022-08-01,4,6,1
2022-09-01,4,6,1
2022-10-01,4,6,1
2022-11-01,4,5,2
2022-12-01,4,5,2
2023-01-01,4,5,2
2023-02-01,4,5,3
2023-03-01,5,4,2
2023-04-01,5,4,2
2023-05-01,6,3,2
2023-06-01,6,2,3
2023-07-01,6,2,3
2023-08-01,6,2,3
2023-09-01,5,3,3
2023-10-01,4,3,4
2023-11-01,3,4,4
2023-12-01,4,4,4
2024-01-01,4,4,4
2024-02-01,5,2,4
2024-03-01,6,2,3
2024-04-01,6,3,3
2024-05-01,7,3,2
2024-06-01,5,3,3
2024-07-01,4,2,5
2024-08-01,5,3,4
2024-09-01,4,3,4
2024-10-01,4,1,6
2024-11-01,5,1,5
2024-12-01,6,2,4
2025-01-01,6,2,3
