"name","latitude","longitude"
"Дім книги",49.225278,28.415
"Дім книги",49.238611,28.494722
"Дім книги",49.232222,28.471944
"Дім книги",50.418889,25.746389
"Дім книги",47.8175,35.175
"Дім книги",50.459444,30.634722
"Дім книги",50.115833,25.718889
"Дім книги",50.761667,25.356944
"Дім книги",50.743611,25.320833
"Дім книги",49.840278,24.029722
"Дім книги",49.836389,24.003611
"Дім книги",49.785278,24.060278
"Дім книги",49.090833,25.168611
"Дім книги",50.293056,26.863333
"Дім книги",49.5525,25.591111
"Дім книги",49.551389,25.597778
"Дім книги",49.535556,25.613333
"Дім книги",49.424722,26.985556
"Дім книги",48.296944,25.936944
"Дім книги",48.259722,25.952222
"Мережа книгарень Vivat",48.921389,24.709722
"Мережа книгарень Vivat",48.923056,24.710556
"Мережа книгарень Vivat",50.423333,30.519167
"Мережа книгарень Vivat",50.459722,30.523056
"Мережа книгарень Vivat",49.838889,24.031667
"Мережа книгарень Vivat",49.991111,36.230833
"Мережа книгарень Vivat",50.010278,36.240556
"Мережа книгарень VALLIZA",48.425278,35.021667
"Мережа книгарень VALLIZA",50.484722,30.595
"Мережа книгарень VALLIZA",50.395833,30.631944
"Мережа книгарень VALLIZA",50.516111,30.601944
"Мережа книгарень VALLIZA",50.343056,30.545
"Мережа книгарень VALLIZA",50.45,30.443056
"Мережа книгарень VALLIZA",50.5075,30.498333
"Мережа книгарень VALLIZA",50.495278,30.359167
"Мережа книгарень VALLIZA",50.514167,30.4975
"Мережа книгарень VALLIZA",49.596111,34.489444
"Мережа книгарень VALLIZA",49.981667,36.241944
"Мережа книгарень VALLIZA",50.009167,36.218889
"Мережа книгарень VALLIZA",49.979444,36.178056
"Мережа книгарень VALLIZA",49.945,36.400278
"Мережа книгарень VALLIZA",50.023889,36.338333
"Клуб Сімейного Дозвілля",50.429444,30.515556
"Клуб Сімейного Дозвілля",50.515556,30.5925
"Клуб Сімейного Дозвілля",49.228056,28.425833
"Клуб Сімейного Дозвілля",49.990278,36.290278
"Клуб Сімейного Дозвілля",49.840278,24.032222
"Клуб Сімейного Дозвілля",48.526389,25.043056
"Клуб Сімейного Дозвілля",49.257778,23.852778
"Клуб Сімейного Дозвілля",48.507222,32.264167
"Клуб Сімейного Дозвілля",50.1775,27.061667
"Клуб Сімейного Дозвілля",49.967778,33.607222
"Клуб Сімейного Дозвілля",48.296389,25.936111
"Клуб Сімейного Дозвілля",49.835,23.995
"Клуб Сімейного Дозвілля",48.681389,26.588056
"Клуб Сімейного Дозвілля",49.240278,28.506111
"Клуб Сімейного Дозвілля",50.594722,32.389167
"Клуб Сімейного Дозвілля",50.526111,30.796389
"Клуб Сімейного Дозвілля",50.616389,26.280278
"Клуб Сімейного Дозвілля",50.357778,30.938889
"Клуб Сімейного Дозвілля",50.761111,25.352778
"Клуб Сімейного Дозвілля",50.744722,25.3225
"Клуб Сімейного Дозвілля",48.607778,22.288611
"Клуб Сімейного Дозвілля",48.439722,22.7225
"Клуб Сімейного Дозвілля",50.395833,30.631944
"Клуб Сімейного Дозвілля",50.401667,30.636944
"Клуб Сімейного Дозвілля",46.468889,30.737222
"Клуб Сімейного Дозвілля",49.544722,25.598611
"Клуб Сімейного Дозвілля",46.970278,31.990278
"Клуб Сімейного Дозвілля",50.003333,36.236111
"Клуб Сімейного Дозвілля",48.92,24.706111
"Клуб Сімейного Дозвілля",49.438889,32.061944
"Клуб Сімейного Дозвілля",48.531667,35.867222
"Клуб Сімейного Дозвілля",50.618333,26.2525
"Клуб Сімейного Дозвілля",50.908889,34.799167
"Клуб Сімейного Дозвілля",50.465556,30.515556
"Клуб Сімейного Дозвілля",49.993611,36.231944
"Клуб Сімейного Дозвілля",48.448056,25.561389
"Клуб Сімейного Дозвілля",49.797778,30.121944
"Клуб Сімейного Дозвілля",46.433056,30.761667
"Клуб Сімейного Дозвілля",49.601111,34.531389
"Клуб Сімейного Дозвілля",49.428056,26.98
"Клуб Сімейного Дозвілля",50.512778,30.497222
"Клуб Сімейного Дозвілля",48.477222,35.016389
"Клуб Сімейного Дозвілля",50.257222,28.671389
"Клуб Сімейного Дозвілля",49.351389,23.506944
"Клуб Сімейного Дозвілля",49.575278,25.639444
"Клуб Сімейного Дозвілля",47.909722,33.393333
"Клуб Сімейного Дозвілля",47.8575,35.104444
"Клуб Сімейного Дозвілля",50.402778,30.662222
